train_loss,val_loss,train_action_score,val_action_score,train_person_score,val_person_score
2.9300288559554457,4.491893291473389,0.03133117035031319,0.06508875638246536,0.4028162956237793,0.4618249535560608
2.7970696926116942,4.316566467285156,0.05665584281086922,0.1494082808494568,0.475382000207901,0.514598548412323
2.6785846592543963,4.155953884124756,0.08847402781248093,0.23224851489067078,0.5314213633537292,0.5592592358589172
2.55516847882952,4.002697467803955,0.13912338018417358,0.30621302127838135,0.578824520111084,0.5878003835678101
2.481591259968745,3.9056198596954346,0.17337661981582642,0.36834320425987244,0.6008911728858948,0.6026365160942078
2.4018363519148394,3.79561710357666,0.2181818187236786,0.4378698170185089,0.6485782265663147,0.6142321825027466
2.335108909359226,3.723783493041992,0.2654220759868622,0.48964497447013855,0.6493848562240601,0.6245210766792297
2.2783516016873446,3.617915630340576,0.3016233742237091,0.5414201021194458,0.682445764541626,0.6349809765815735
2.2211976574612904,3.550720453262329,0.34090909361839294,0.5784023404121399,0.6992118954658508,0.6438094973564148
2.1633974363277484,3.5415570735931396,0.38165584206581116,0.63165682554245,0.7141604423522949,0.6628788113594055
2.122958070891244,3.446911096572876,0.4112012982368469,0.6242603659629822,0.736052930355072,0.6757281422615051
2.07650584245657,3.4229516983032227,0.4534091055393219,0.6494082808494568,0.7537329792976379,0.6782945990562439
2.0217714817492993,3.364898681640625,0.48701298236846924,0.6671597361564636,0.7679399251937866,0.6844106316566467
1.9763258252825056,3.3137104511260986,0.516883134841919,0.6834319233894348,0.7732974886894226,0.6822612285614014
1.932742518263978,3.265460968017578,0.5412337779998779,0.6967455744743347,0.8025022149085999,0.6871401071548462
1.8940729243414742,3.2500691413879395,0.5759740471839905,0.7011834383010864,0.8043965697288513,0.6851485371589661
1.8631816507933976,3.154944896697998,0.5948051810264587,0.7130177617073059,0.8133392930030823,0.682539701461792
1.8227272677731203,3.1204617023468018,0.6222402453422546,0.7248520851135254,0.8135055303573608,0.6915520429611206
1.7913583786456615,3.11519455909729,0.6389610171318054,0.7366864085197449,0.8351648449897766,0.6916996240615845
1.7518660557734502,3.0936906337738037,0.6644480228424072,0.7559171319007874,0.8410878777503967,0.7017543911933899
